 
description, level, linenumber, rule, ruleId, rulenamespace, section, source, tool
All using directives must be placed inside of the namespace., Warning, 8, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.DataExtractorLib, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
The spacing around the symbol ':' is invalid., Warning, 12, SymbolsMustBeSpacedCorrectly, SA1003, StyleCop.CSharp.SpacingRules, Root.CsvDataExtractorLib.CsvDataExtractor, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
The spacing around the symbol ':' is invalid., Warning, 12, SymbolsMustBeSpacedCorrectly, SA1003, StyleCop.CSharp.SpacingRules, Root.CsvDataExtractorLib.CsvDataExtractor, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
The class must have a documentation header., Warning, 9, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StaticTester.Program, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
The method must have a documentation header., Warning, 12, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StaticTester.Program.Main%string[], C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
The class must have a documentation header., Warning, 12, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.CsvDataExtractorLib.CsvDataExtractor, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
The field must have a documentation header., Warning, 14, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.CsvDataExtractorLib.CsvDataExtractor.csvThresholdList, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
The method must have a documentation header., Warning, 15, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.CsvDataExtractorLib.CsvDataExtractor.ExtractData, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
The method must have a documentation header., Warning, 18, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StaticTester.Program.Tester, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
The file has no header  the header Xml is invalid  or the header is not located at the top of the file., Warning, 1, FileMustHaveHeader, SA1633, StyleCop.CSharp.DocumentationRules, Root, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
The file has no header  the header Xml is invalid  or the header is not located at the top of the file., Warning, 1, FileMustHaveHeader, SA1633, StyleCop.CSharp.DocumentationRules, Root, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
Adjacent elements must be separated by a blank line., Warning, 15, ElementsMustBeSeparatedByBlankLine, SA1516, StyleCop.CSharp.LayoutRules, Root.CsvDataExtractorLib.CsvDataExtractor.ExtractData, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
Adjacent elements must be separated by a blank line., Warning, 18, ElementsMustBeSeparatedByBlankLine, SA1516, StyleCop.CSharp.LayoutRules, Root.StaticTester.Program.Tester, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
An opening curly bracket must not be followed by a blank line., Warning, 10, OpeningCurlyBracketsMustNotBeFollowedByBlankLine, SA1505, StyleCop.CSharp.LayoutRules, Root.StaticTester.Program, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
A closing curly bracket must not be preceded by a blank line., Warning, 17, ClosingCurlyBracketsMustNotBePrecededByBlankLine, SA1508, StyleCop.CSharp.LayoutRules, Root.StaticTester.Program.Main%string[], C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
Statements or elements wrapped in curly brackets must be followed by a blank line., Warning, 17, ClosingCurlyBracketMustBeFollowedByBlankLine, SA1513, StyleCop.CSharp.LayoutRules, Root.StaticTester.Program.Main%string[], C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
A closing curly bracket must not be preceded by a blank line., Warning, 22, ClosingCurlyBracketsMustNotBePrecededByBlankLine, SA1508, StyleCop.CSharp.LayoutRules, Root.StaticTester.Program, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
Statements or elements wrapped in curly brackets must be followed by a blank line., Warning, 29, ClosingCurlyBracketMustBeFollowedByBlankLine, SA1513, StyleCop.CSharp.LayoutRules, Root.CsvDataExtractorLib.CsvDataExtractor.ExtractData, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
The class must have an access modifier., Warning, 9, AccessModifierMustBeDeclared, SA1400, StyleCop.CSharp.MaintainabilityRules, Root.StaticTester.Program, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
The method must have an access modifier., Warning, 12, AccessModifierMustBeDeclared, SA1400, StyleCop.CSharp.MaintainabilityRules, Root.StaticTester.Program.Main%string[], C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 1, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 2, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Collections.Generic, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 3, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Linq, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 4, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Text, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 5, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Threading.Tasks, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 1, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 2, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Collections.Generic, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 3, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.IO, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 4, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Linq, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 5, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Text, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 6, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Threading, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 7, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Threading.Tasks, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 8, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.DataExtractorLib, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
The spacing around the symbol ':' is invalid., Warning, 12, SymbolsMustBeSpacedCorrectly, SA1003, StyleCop.CSharp.SpacingRules, Root.CsvDataExtractorLib.CsvDataExtractor, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
The spacing around the symbol ':' is invalid., Warning, 12, SymbolsMustBeSpacedCorrectly, SA1003, StyleCop.CSharp.SpacingRules, Root.CsvDataExtractorLib.CsvDataExtractor, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\StaticTester\StaticTester\Delete.cs, StyleCop
Sign 'StaticTester.exe' with a strong name key., CriticalError, , AssembliesShouldHaveValidStrongNames, CA2210, Microsoft.Design, NoStrongName., , FxCop
Parameter 'args' of 'Program.Main(string[])' is never used. Remove the parameter or use it in the method body., Warning, 12, ReviewUnusedParameters, CA1801, Microsoft.Usage, args, C:\Users\320067390\Static\StaticTester\StaticTester\Program.cs, FxCop
